CUS_CUST_ID,registration_date,sit_site_id,cus_nickname,flag_ca,flag_mia,flag_up,flag_trusted_seller,flag_gmv_high,flag_gmv_low,flag_tpv_high,flag_tpv_low,flag_repu_ml,flag_repu_glg,flag_repu_yor,last_transaction,tpv_approved,gmv_not_refund,count_orders,cashout,gmv_claims_seller,count_claims_seller,flag_on_final,activo,tpv_nulo,gmv_nulo,cluster
201114848,2015-12-16,MCO   ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-26,0,0,0.0,0,0.0,0.0,0,0,1,1,1
275132089,2017-09-26,MLB   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
677370581,2020-11-24,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-03-21,45069,0,0.0,0,0.0,0.0,0,1,0,1,1
82251427,2005-06-30,MCO   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
261630957,2017-06-22,MLM   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
161472600,2014-06-26,MLB   ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
422324146,2019-04-02,MLM   ,OSORIOMONTIELMARIAFERNANDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-07-21,0,0,0.0,0,0.0,0.0,1,0,1,1,1
260821090,2017-06-15,MLM   ,GGLITCHCOMMX,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-10,0,0,0.0,0,0.0,0.0,1,0,1,1,1
84759913,2009-08-27,MCO   ,TECNOMAG COLOMBIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-05-06,0,0,0.0,0,0.0,0.0,1,0,1,1,1
101301323,2012-01-29,MLM   ,GLAVENUS,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-11-03,0,0,0.0,0,0.0,0.0,1,0,1,1,1
164975282,2014-08-20,MLB   ,WILLIAN GABRIELSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-24,0,0,0.0,0,0.0,0.0,1,1,1,1,1
76256765,2004-10-15,MLA   ,ARMYTECH,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2021-03-21,395214,0,0.0,0,0.0,0.0,1,1,0,1,1
224563919,2016-08-09,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
327795275,2018-06-12,MLM   ,MXTELEONLINE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-16,0,0,0.0,0,0.0,0.0,1,0,1,1,1
94318681,2006-05-23,MLB   ,GISIELEVIEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-08-27,0,0,0.0,0,0.0,0.0,1,0,1,1,1
210534601,2016-04-06,MLB   ,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-03-21,140626,0,0.0,0,0.0,0.0,0,1,0,1,1
153145739,2014-01-29,MLB   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
176500829,2015-02-04,MLA   ,CUARTITO AZUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-28,0,0,0.0,0,0.0,0.0,1,0,1,1,1
214691144,2016-05-20,MLB   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-09,0,0,0.0,0,0.0,0.0,0,1,1,1,1
476409712,2019-10-03,MLB   ,SAMA1870972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-20,0,0,0.0,0,0.0,0.0,1,1,1,1,1
325269821,2020-08-26,MLM   ,HENCOGLOBALSADECV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-23,0,0,0.0,0,0.0,0.0,1,1,1,1,1
86898669,2005-11-08,MLA   ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-16,0,0,0.0,0,0.0,0.0,0,0,1,1,1
158878138,2014-05-15,MLA   ,JUANA_DE_ARCO.NET,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021-02-26,188,0,0.0,0,0.0,0.0,1,1,0,1,1
163444584,2014-07-28,MLA   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
179921575,2015-03-25,MLB   ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
165371176,2014-08-25,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
193811682,2015-10-02,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
268049910,2017-08-10,MLM   ,FACILIDADMX,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-09-29,0,0,0.0,0,0.0,0.0,1,0,1,1,1
266778697,2017-08-01,MLM   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
192535062,2015-09-15,MLU   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
211371201,2016-04-15,MLA   ,BUSCALIBREARG,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-07-24,0,0,0.0,0,0.0,0.0,1,0,1,1,1
287487971,2017-11-29,MLB   ,CARMENSTEFFENSOFICIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-08-27,0,0,0.0,0,0.0,0.0,1,0,1,1,1
212365137,2016-04-26,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
173205249,2014-12-16,MLC   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
95821018,2009-12-10,MLM   ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
119647379,2012-08-17,MLA   ,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-03-21,17446,0,0.0,0,0.0,0.0,0,1,0,1,1
